	Total	Mexican Restaurant	Coffee Shop	Pizza Place	Food Truck	Sandwich Place	Taco Place	Fast Food Restaurant	Burger Joint	American Restaurant	Bakery	Ice Cream Shop	Italian Restaurant	BBQ Joint	Cocktail Bar	Brewery	Chinese Restaurant	Café	Mediterranean Restaurant	Vietnamese Restaurant	Juice Bar	Restaurant	Breakfast Spot	Dive Bar	Asian Restaurant	Fried Chicken Joint	Sushi Restaurant	Seafood Restaurant	Donut Shop	Deli / Bodega	Vegetarian / Vegan Restaurant	Thai Restaurant	Japanese Restaurant	Pub	New American Restaurant	Bagel Shop	Dessert Shop	Steakhouse	Wings Joint	Indian Restaurant	Beer Garden	Salad Place	Sports Bar	Korean Restaurant	Frozen Yogurt Shop	French Restaurant	Cupcake Shop	Food	Bubble Tea Shop	Cajun / Creole Restaurant	Tex-Mex Restaurant	Smoothie Shop	Beer Bar	Southern / Soul Food Restaurant	South American Restaurant	Diner	Snack Place	Middle Eastern Restaurant	Gastropub	Greek Restaurant	Beach Bar	Ramen Restaurant	Bed & Breakfast	Latin American Restaurant	Gluten-free Restaurant	Hotel Bar	Cuban Restaurant	Comfort Food Restaurant	Burrito Place	Wine Bar	Tea Room	Tapas Restaurant	Irish Pub	Soup Place	Ethiopian Restaurant	Peruvian Restaurant	Noodle House	Szechuan Restaurant	Churrascaria	Taiwanese Restaurant	South Indian Restaurant	Argentinian Restaurant	Cantonese Restaurant	Turkish Restaurant	Whisky Bar	Pastry Shop	Brazilian Restaurant
2nd Street Disrict, Arts District, Brush Park, Congress Ave District, Palm Park, Republic Square Park, South Congress, Warehouse District, Waterloo Park	31	1	5	0	1	4	0	0	2	0	0	0	2	0	2	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6th Street Disrict, 6th Street District, Convention Center District, Downtown, Red River District	59	4	5	2	11	1	2	0	0	3	1	2	0	2	4	2	1	2	0	0	0	2	1	6	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Alamo Park, Blackland (Rogers-Washington-Holy Cross), Cherrywood, Mt Calvary Cemetery	24	2	3	1	0	2	2	0	0	2	0	1	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Allandale, Rosedale	28	3	2	2	1	3	1	1	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Auditorium Shores, Barton Springs, Bouldin Creek, Dawson, Galindo, South Lamar, South River City, St. Edwards, Town Lake Park (Town Lake), Zilker	67	3	10	3	2	0	3	0	1	1	2	4	2	2	0	0	0	1	0	1	1	2	1	0	1	1	1	1	1	1	2	2	1	0	3	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Barrington Oaks, Gateway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barton Hills, Spyglass-Bartons Bluff (Bartons Bluff-Spyglass), Zilker Metropolitan Park	31	2	1	2	2	1	1	2	0	0	5	2	0	0	0	0	2	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Battle Bend Springs, East Congress, Garrison Park, South Manchaca, Sweetbriar, West Congress	49	9	2	10	2	2	2	4	0	1	0	1	0	0	0	0	6	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bratton, Bratton Lane Business Park, Limestone Ridgeapts, Northridge Acres, Prologis, Wells Branch, William Carl Young	25	4	1	3	1	0	1	1	0	1	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Brentwood	28	2	3	3	3	1	2	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bryker Woods, Old Enfield, Windsor Road	61	3	3	3	6	6	4	0	5	0	1	2	0	2	0	0	0	1	2	0	2	0	0	0	0	0	2	0	0	0	0	2	1	0	1	1	2	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cat Mountain, Northwest Hills (NW Hills)	26	2	3	4	0	1	0	2	0	1	0	1	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Central East Austin, Chestnut, Comal Park, East Cesar Chavez, East End, Govalle, Holly, Hutson-Tillotson University, Kealing Park and Pool, Oakwood Cemetery, Pan Am Park, Texas State Cemetery	71	6	6	3	8	2	2	1	0	0	1	2	2	3	6	4	0	4	0	0	2	2	1	5	0	0	0	1	0	1	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cherry Creek	19	1	0	2	3	2	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Circle C Ranch	37	3	3	2	2	2	0	2	2	4	1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clarksville, Clarksville Park, Old West Austin, Tarrytown (Tarrytown-Exposition Boulevard), University of Texas at Austin, West Austin Park	14	2	3	0	1	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Copperfield	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coronado Hills, Highland, Highland North, Highland South, St. Johns	42	6	0	2	1	3	0	3	2	1	0	0	1	0	0	0	2	1	0	0	0	0	1	0	1	0	1	3	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Crestview, Fireside Loop, Wooten	54	3	4	4	1	4	2	1	3	0	4	0	0	0	0	0	1	1	0	2	1	1	2	1	1	1	1	0	2	1	0	1	1	0	0	0	1	1	0	2	0	1	1	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
