	Neighborhood	Area	Population	Zip_codes
0	2nd Street Disrict	 0.037 	 205	78701
1	6th Street Disrict	 0.064 	 1302	78701,78702
2	6th Street District	 0.057 	 1161	78701,78702
3	Alamo Park	 0.003 	 12	78722
4	Allandale	 2.002 	 9806	78731,78756
5	Arts District	 0.051 	 210	78701
6	Auditorium Shores	 0.039 	 234	78704
7	Barrington Oaks	 1.241 	 7037	78759
8	Barton Hills	 2.776 	 6753	78704,78746
9	Barton Springs	 0.074 	 426	78704
10	Battle Bend Springs	 1.856 	 6827	78745
11	Blackland (Rogers-Washington-Holy Cross)	 0.193 	 1010	78722
12	Bouldin Creek	 1.199 	 10293	78704
13	Bratton	 0.011 	 27	78728
14	Bratton Lane Business Park	 0.023 	 55	78728
15	Brentwood	 1.590 	 11662	78756,78757
16	Brush Park	 0.004 	 20	78701
17	Bryker Woods	 0.599 	 3277	78703,78705
18	Cat Mountain	 0.625 	 1544	78731
19	Central East Austin	 0.968 	 4885	78702
20	Cherry Creek	 1.674 	 8223	78748
21	Cherrywood	 0.710 	 4217	78722
22	Chestnut	 0.281 	 1714	78702
23	Circle C Ranch	 7.244 	 24814	78739,78749
24	Clarksville	 0.547 	 6452	78703
25	Clarksville Park	 0.004 	 23	78703
26	Comal Park	 0.003 	 9	78702
27	Congress Ave District	 0.123 	 482	78701
28	Convention Center District	 0.117 	 2020	78701,78702
29	Copperfield	 1.013 	 3508	78753,78754
31	Coronado Hills	 0.551 	 2417	78752
32	Crestview	 1.024 	 5221	78757
33	Dawson	 0.496 	 2582	78704
34	Downtown	 1.653 	 26154	78701,78702
35	Duncan Park	 0.018 	 26	78701,78703
36	East Austin	 8.924 	 38380	78702,78721
37	East Cesar Chavez	 0.680 	 2916	78702
38	East Congress	 1.207 	 3705	78745
39	East End	 0.101 	 407	78702
40	Ed Bluestein	 0.670 	 1761	78721
41	Fireside Loop	 0.054 	 231	78757
42	Franklin Park	 2.203 	 15865	78744
43	Galindo	 0.684 	 4541	78704
44	Garrison Park	 1.964 	 7688	78745
45	Gateway	 0.734 	 805	78759
